epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,150.698,0.84796,0.5321,0.92424,0.74912,0.9422,0.94706,0.65375,1.09773,0.6331,1.12023,0.000523928,0.000523928,0.000523928
67,152.802,0.85698,0.53308,0.91983,0.83081,0.96877,0.9774,0.70349,1.01207,0.58367,1.07087,0.000521727,0.000521727,0.000521727
68,154.976,0.83708,0.52663,0.92376,0.9479,0.79218,0.90138,0.65793,1.06452,0.58611,1.09643,0.000519526,0.000519526,0.000519526
69,157.09,0.82081,0.52932,0.92236,0.8199,0.97632,0.92426,0.6423,1.06963,0.57659,1.10349,0.000517325,0.000517325,0.000517325
70,159.217,0.83192,0.50428,0.91033,0.84609,0.88492,0.91085,0.63017,1.03554,0.58181,1.07751,0.000515124,0.000515124,0.000515124
71,161.339,0.81601,0.50973,0.91642,0.73351,0.85973,0.8795,0.62773,1.02528,0.59209,1.0628,0.000512923,0.000512923,0.000512923
72,163.484,0.80196,0.48688,0.91579,0.85453,0.91363,0.93213,0.69387,0.98999,0.55676,1.06655,0.000510722,0.000510722,0.000510722
73,165.608,0.8165,0.50609,0.92315,0.78463,0.90631,0.89464,0.65276,1.0514,0.55965,1.08449,0.000508521,0.000508521,0.000508521
74,167.732,0.81552,0.50226,0.92553,0.84528,0.89147,0.87989,0.65688,1.05285,0.5586,1.08438,0.00050632,0.00050632,0.00050632
75,169.899,0.79448,0.49638,0.9196,0.85014,0.89166,0.90492,0.66596,1.05489,0.56459,1.10092,0.000504119,0.000504119,0.000504119
76,172.056,0.8069,0.51501,0.91023,0.78754,0.89663,0.87946,0.61731,1.07783,0.58359,1.10232,0.000501917,0.000501917,0.000501917
77,174.169,0.82717,0.5166,0.92729,0.92023,0.82837,0.88083,0.61998,1.08809,0.57074,1.10218,0.000499716,0.000499716,0.000499716
78,176.282,0.80134,0.48941,0.91079,0.71062,0.8898,0.90952,0.6306,1.07888,0.58464,1.10497,0.000497515,0.000497515,0.000497515
79,178.402,0.79426,0.49693,0.92806,0.82545,0.95683,0.907,0.6236,1.06676,0.59121,1.10564,0.000495314,0.000495314,0.000495314
80,180.518,0.82189,0.50738,0.90888,0.88899,0.86062,0.92265,0.63645,1.02214,0.59652,1.06816,0.000493113,0.000493113,0.000493113
81,182.636,0.84398,0.54147,0.91697,0.87889,0.79344,0.85907,0.60122,1.05241,0.58528,1.07194,0.000490912,0.000490912,0.000490912
82,184.75,0.83413,0.506,0.91774,0.91662,0.78216,0.88164,0.62445,1.05147,0.58194,1.11311,0.000488711,0.000488711,0.000488711
83,186.831,0.79469,0.49402,0.92324,0.77287,0.92468,0.88554,0.62259,1.06116,0.56904,1.09928,0.00048651,0.00048651,0.00048651
84,188.938,0.793,0.46867,0.89857,0.86965,0.89313,0.91299,0.63851,1.00932,0.58221,1.07616,0.000484309,0.000484309,0.000484309
85,191.018,0.78433,0.49659,0.91829,0.8359,0.88177,0.86757,0.5954,1.03742,0.59813,1.06818,0.000482108,0.000482108,0.000482108
86,193.1,0.77726,0.51469,0.90924,0.72517,0.89824,0.85863,0.59951,1.03641,0.60328,1.08683,0.000479907,0.000479907,0.000479907
87,195.244,0.76246,0.48799,0.91033,0.76612,0.90848,0.90613,0.64468,1.02294,0.55701,1.08574,0.000477705,0.000477705,0.000477705
